Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2017,2,47,IND,Ike Anigbogu,F-C,"University of California, Los Angeles",14,2.6,0.9,0.9,0.1,0.1,0.3,.333,,.833,0.0,.058
2017,2,48,MIL,Sindarius Thornwell,G,University of South Carolina,134,10.8,2.5,1.4,0.6,0.5,0.2,.413,.342,.678,1.0,.032
2017,2,49,DEN,Vlatko Cancar,F,,,,,,,,,,,,,
2017,2,50,PHI,Mathias Lessort,F,,,,,,,,,,,,,
2017,2,51,DEN,Monte Morris,G,Iowa State University,81,23.5,10.1,2.3,3.6,0.9,0.0,.493,.413,.797,6.0,.152
2017,2,52,NOP,Edmond Sumner,G,Xavier University,21,8.4,2.0,1.0,0.4,0.4,0.2,.340,.200,.417,-0.1,-0.015
2017,2,53,BOS,Kadeem Allen,G,University of Arizona,36,13.7,5.4,1.6,2.2,0.5,0.1,.444,.341,.800,0.8,.073
2017,2,54,PHO,Alec Peters,F,Valparaiso University,20,11.3,4.1,1.9,0.6,0.1,0.1,.378,.310,.800,0.3,.055
2017,2,55,UTA,Nigel Williams-Goss,G,Gonzaga University,,,,,,,,,,,,
2017,2,56,BOS,Jabari Bird,G,University of California,13,8.8,3.0,1.5,0.6,0.2,0.1,.577,.429,.462,0.2,.098
2017,2,57,BRK,Aleksandar Vezenkov,F,,,,,,,,,,,,,
2017,2,58,NYK,Ognjen Jaramaz,G,,,,,,,,,,,,,
2017,2,59,SAS,Jaron Blossomgame,F,Clemson University,27,16.3,4.2,3.6,0.5,0.3,0.3,.443,.256,.769,0.3,.031
2017,2,60,ATL,Alpha Kaba,F,,,,,,,,,,,,,
2016,1,1,PHI,Ben Simmons,G-F,Louisiana State University,157,34.1,16.4,8.6,8.0,1.6,0.8,.553,.000,.583,17.3,.155
2016,1,2,LAL,Brandon Ingram,F,Duke University,190,31.7,13.9,4.7,2.9,0.6,0.6,.458,.329,.662,4.5,.036
2016,1,3,BOS,Jaylen Brown,F-G,University of California,220,24.4,11.2,4.0,1.3,0.8,0.3,.462,.365,.660,8.9,.080
2016,1,4,PHO,Dragan Bender,F,,168,20.0,5.1,3.7,1.2,0.3,0.5,.392,.324,.663,0.0,.000
2016,1,5,MIN,Kris Dunn,G,Providence College,176,24.1,8.6,3.3,4.4,1.4,0.5,.417,.323,.723,1.7,.019
2016,1,6,NOP,Buddy Hield,G,University of Oklahoma,240,26.8,14.9,4.1,2.0,0.7,0.3,.446,.419,.874,9.9,.074
2016,1,7,DEN,Jamal Murray,G,University of Kentucky,235,28.4,14.8,3.5,3.4,0.8,0.3,.434,.360,.882,11.7,.084
2016,1,8,SAC,Marquese Chriss,F,University of Washington,193,19.3,7.6,4.5,0.8,0.7,0.8,.431,.299,.627,2.4,.030
2016,1,9,TOR,Jakob Poeltl,C,University of Utah,210,16.0,5.4,4.5,0.7,0.4,0.9,.640,.500,.560,11.9,.171
2016,1,10,MIL,Thon Maker,F-C,,191,14.2,4.7,2.8,0.6,0.4,0.7,.424,.331,.676,4.8,.085
2016,1,11,ORL,Domantas Sabonis,F-C,Gonzaga University,227,23.0,10.4,6.7,1.9,0.6,0.4,.512,.343,.722,13.0,.119
2016,1,12,UTA,Taurean Prince,F,Baylor University,193,25.4,11.3,3.8,2.0,0.9,0.5,.428,.379,.829,4.6,.045
